airline_sentiment,airline,text
positive,Virgin America,@VirginAmerica What @dhepburn said.
positive,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.
positive,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!
negative,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
negative,Virgin America,@VirginAmerica and it's a really big bad thing about it
negative,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
positive,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
positive,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
positive,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
positive,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
positive,Virgin America,@VirginAmerica Thanks!
negative,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.
positive,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
negative,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
positive,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
negative,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
positive,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.
positive,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
negative,Virgin America,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
negative,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
positive,Virgin America,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
negative,Virgin America,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
positive,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
negative,Virgin America,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
positive,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
negative,Virgin America,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
negative,Virgin America,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
